track_name,peak_pos,album_name,key,tempo,video_url
...Ready For It?,4.0,reputation,2.0,160.015,https://www.youtube.com/watch?v=Qf9SOEkZR9Q
'tis the damn season,39.0,evermore,5.0,145.916,https://www.youtube.com/watch?v=WuvhOD-mP8M
"""Slut!"" (Taylor's Version) [From The Vault]",3.0,1989 (Taylor's Version),2.0,155.875,https://www.youtube.com/watch?v=E1Y3RD3Vt7I
22,20.0,Red,7.0,104.007,https://www.youtube.com/watch?v=xGWTv4IQ7vQ
22 (Taylor's Version),52.0,Red (Taylor's Version),7.0,103.984,https://www.youtube.com/watch?v=xGWTv4IQ7vQ
A Perfectly Good Heart,,Taylor Swift,4.0,156.092,https://www.youtube.com/watch?v=4-vbnfB29II&pp=ygUjQSBQZXJmZWN0bHkgR29vZCBIZWFydCB0YXlsb3Igc3dpZnQ%3D
A Place In This World,,Taylor Swift,9.0,115.028,https://www.youtube.com/watch?v=_FNQ5qLuLjA&pp=ygUVQSBQbGFjZSBJbiBUaGlzIFdvcmxk
Afterglow,75.0,Lover,9.0,111.011,https://www.youtube.com/watch?v=8HxbqAsppwU
All Of The Girls You Loved Before,12.0,,2.0,95.96,https://www.youtube.com/watch?v=HO-31CVnLes&pp=ygUhQWxsIE9mIFRoZSBHaXJscyBZb3UgTG92ZWQgQmVmb3Jl
All Too Well,80.0,Red,0.0,93.06,https://www.youtube.com/watch?v=rX9GLnJ06F4
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],,Red (Taylor's Version),0.0,93.023,https://www.youtube.com/watch?v=7SqC7_f_-0M
All Too Well (Taylor's Version),1.0,Red (Taylor's Version),0.0,185.972,https://www.youtube.com/watch?v=rX9GLnJ06F4
All You Had To Do Was Stay,,1989,5.0,96.97,https://www.youtube.com/watch?v=cEUCx9x8G_0
All You Had To Do Was Stay (Taylor's Version),20.0,1989 (Taylor's Version),0.0,96.997,https://www.youtube.com/watch?v=cEUCx9x8G_0
American Girl,,,,,https://www.youtube.com/watch?v=x_ml9Jab2gk&pp=ygUaQW1lcmljYW4gR2lybCB0YXlsb3Igc3dpZnQ%3D
Anti-Hero,1.0,Midnights,4.0,96.935,https://www.youtube.com/watch?v=gGwN25z7FrE
august,23.0,folklore,5.0,89.567,https://www.youtube.com/watch?v=nn_0zPAfyo8
Babe,72.0,,4.0,171.72,https://www.youtube.com/watch?v=3pj39qZZYoQ&pp=ygURQmFiZSB0YXlsb3Igc3dpZnQ%3D
Babe (Taylor's Version) [From The Vault],69.0,Red (Taylor's Version),4.0,167.844,https://www.youtube.com/watch?v=3XGlNU__M68
Back To December,6.0,Speak Now,2.0,141.893,https://www.youtube.com/watch?v=oOEhHDx6xOQ
Back To December (Taylor's Version),16.0,Speak Now (Taylor's Version),2.0,142.063,https://www.youtube.com/watch?v=oOEhHDx6xOQ
Bad Blood,,1989,7.0,170.216,https://www.youtube.com/watch?v=VCb5JPnyoHs
Bad Blood (Remix),,,11.0,170.16,https://www.youtube.com/watch?v=QcIy9NiNbmo&pp=ygUPQmFkIFZsb29kIFJlbWl4
Bad Blood (Remix) [Taylor's Version],1.0,1989 (Taylor's Version),2.0,170.091,https://www.youtube.com/watch?v=QcIy9NiNbmo&pp=ygUPQmFkIFZsb29kIFJlbWl4
Bad Blood (Taylor's Version),7.0,1989 (Taylor's Version),7.0,169.971,https://www.youtube.com/watch?v=VCb5JPnyoHs
Beautiful Eyes,,Beautiful Eyes,,,https://www.youtube.com/watch?v=SnGJGrlSNko&pp=ygUVYmVhdXRpZnVsIGV5ZXMgdGF5bG9y
Beautiful Ghosts,,,4.0,175.561,https://www.youtube.com/watch?v=trIjpVH8h88&pp=ygUXYmVhdXRpZnVsIGdob3N0cyB0YXlsb3I%3D
Begin Again,7.0,Red,7.0,79.025,https://www.youtube.com/watch?v=bVcxtHhyfZQ
Begin Again (Taylor's Version),77.0,Red (Taylor's Version),7.0,78.915,https://www.youtube.com/watch?v=bVcxtHhyfZQ
Bejeweled,6.0,Midnights,7.0,164.0,https://www.youtube.com/watch?v=t4lVi8Uj7Ck
Better Man (Taylor's Version) [From The Vault],51.0,Red (Taylor's Version),4.0,73.942,https://www.youtube.com/watch?v=VwCQAP-XPA8
Better Than Revenge,56.0,Speak Now,11.0,145.821,https://www.youtube.com/watch?v=MSWhTUMH3pM
Better Than Revenge (Taylor's Version),28.0,Speak Now (Taylor's Version),11.0,145.863,https://www.youtube.com/watch?v=MSWhTUMH3pM
betty,42.0,folklore,0.0,95.946,https://www.youtube.com/watch?v=6TAPqXkZW_I
Bigger Than The Whole Sky,21.0,Midnights,6.0,82.951,https://www.youtube.com/watch?v=l8Tps3PITx4&pp=ygUZQmlnZ2VyIFRoYW4gVGhlIFdob2xlIFNreQ%3D%3D
Birch,,,8.0,92.012,https://www.youtube.com/watch?v=l--oFmFKxOE&pp=ygUSYmlyY2ggdGF5bG9yIHN3aWZ0
Blank Space,1.0,1989,5.0,95.997,https://www.youtube.com/watch?v=-MtKC5wXqdQ
Blank Space (Taylor's Version),12.0,1989 (Taylor's Version),0.0,96.057,https://www.youtube.com/watch?v=-MtKC5wXqdQ
