track_name,peak_pos,streak,wks_on_chart
Anti-Hero,1,8.0,53
You Belong With Me,2,,50
Shake It Off,1,4.0,50
Love Story,4,,49
Teardrops On My Guitar,13,,48
Cruel Summer,1,4.0,46
Blank Space,1,7.0,38
I Knew You Were Trouble,2,,36
Our Song,16,,36
Delicate,12,,35
Style,6,,32
Karma (Remix),2,,30
Lavender Haze,2,,29
Wildest Dreams,5,,27
Bad Blood (Remix) [Taylor's Version],1,1.0,25
We Are Never Ever Getting Back Together,1,3.0,24
I Don't Wanna Live Forever,2,,23
Mine,3,,23
White Horse,13,,22
Red,6,,22
Lover,10,,22
Is It Over Now? (Taylor's Version) [From The Vault],1,1.0,21
You Need To Calm Down,2,,21
Two Is Better Than One,18,,21
Fifteen,23,,21
Sparks Fly,17,,20
Tim McGraw,40,,20
Should've Said No,33,,20
Picture To Burn,28,,20
Back To December,6,,20
Mean,11,,20
Begin Again,7,,20
Everything Has Changed,32,,20
Ours,13,,20
Look What You Made Me Do,1,3.0,20
...Ready For It?,4,,20
22,20,,20
Highway Don't Care,22,,20
ME!,2,,20
willow,1,1.0,20
Both Of Us,18,,19
Today Was A Fairytale,2,,18
Safe & Sound,30,,17
Fearless,9,,15
All Too Well (Taylor's Version),1,1.0,15
cardigan,1,1.0,14
End Game,18,,14
Message In A Bottle (Taylor's Version) [From The Vault],45,,13
Eyes Open,19,,13
The Story Of Us,41,,12
Out Of The Woods,18,,10
Bejeweled,6,,9
Now That We Don't Talk (Taylor's Version) [From The Vault],2,,8
Snow On The Beach,4,,8
Midnight Rain,5,,8
New Romantics,46,,8
Crazier,17,,8
The Man,23,,8
You're Losing Me (From The Vault),27,,7
I Can See You (Taylor's Version) [From The Vault],5,,7
Maroon,3,,7
All Of The Girls You Loved Before,12,,6
Vigilante Shit,10,,6
"You're On Your Own, Kid",8,,6
the 1,4,,6
"""Slut!"" (Taylor's Version) [From The Vault]",3,,5
Say Don't Go (Taylor's Version) [From The Vault],5,,5
exile,6,,5
You're Not Sorry,11,,5
Sweet Nothing,15,,5
Mastermind,13,,5
Question...?,7,,5
Labyrinth,14,,5
Style (Taylor's Version),9,,4
The Great War,26,,4
Bigger Than The Whole Sky,21,,4
"Would've, Could've, Should've",20,,4
Gorgeous,13,,4
Wildest Dreams (Taylor's Version),19,,4
Hits Different,27,,3
Suburban Legends (Taylor's Version) [From The Vault],10,,3
Bad Blood (Taylor's Version),7,,3
High Infidelity,33,,3
Blank Space (Taylor's Version),12,,3
Enchanted (Taylor's Version),19,,3
Out Of The Woods (Taylor's Version),16,,3
The Joker And The Queen,21,,3
Mr. Perfectly Fine (Taylor's Version) [From The Vault],30,,3
The Archer,38,,3
Speak Now,8,,3
Change,10,,3
Jump Then Fall,10,,3
Forever & Always,34,,3
Paris,32,,3
New Romantics (Taylor's Version),29,,2
Welcome To New York (Taylor's Version),14,,2
All You Had To Do Was Stay (Taylor's Version),20,,2
Shake It Off (Taylor's Version),28,,2
Clean (Taylor's Version),30,,2
Sparks Fly (Taylor's Version),22,,2
Back To December (Taylor's Version),16,,2
Mine (Taylor's Version),15,,2
Glitch,41,,2
Dear Reader,45,,2
This Love (Taylor's Version),42,,2
I Bet You Think About Me (Taylor's Version) [From The Vault],22,,2
Red (Taylor's Version),25,,2
Untouchable,19,,2
The Other Side Of The Door,23,,2
Haunted,63,,2
Ronan,16,,2
If This Was A Movie,10,,2
Call It What You Want,27,,2
Welcome To New York,48,,2
I Forgot That You Existed,28,,2
august,23,,2
invisible string,37,,2
the last great american dynasty,13,,2
mirrorball,26,,2
seven,35,,2
my tears ricochet,16,,2
Babe,72,,2
betty,42,,2
champagne problems,21,,2
